Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
310,6195.2,340.972,0.601,95.459,253.462,509.698,757.227,920.218,1227.527,6775.702,0.003
315,1348.4,1773.1,0.65,76.252,309.185,5181.451,5504.146,5620.716,5889.721,6695.517,0.001
320,6493.4,245.495,0.567,89.402,202.963,363.092,518.91,617.183,811.691,1379.207,0.004
325,8646.8,240.862,0.612,75.214,193.951,364.491,520.865,620.155,826.418,1555.104,0.004
330,8027.2,251.372,0.617,77.627,200.403,379.131,547.306,651.084,865.064,1573.758,0.004
335,7340.6,282.683,0.872,94.288,220.546,421.057,614.645,734.978,992.392,1791.376,0.004
340,7181.2,284.289,0.502,78.878,216.805,437.003,635.295,756.769,1018.776,1804.977,0.004
345,6555,310.266,0.632,98.056,246.373,474.435,668.243,786.686,1036.081,1954.611,0.003
350,5328.6,939.41,0.7,110.082,278.545,558.691,921.509,8267.895,8726.725,9873.824,0.001
355,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
360,4804.4,228.291,1.005,76.916,183.892,329.189,485.509,608.693,851.816,1712.34,0.004
365,9140,227.315,0.512,70.661,178.977,335.335,501.425,602.399,815.932,1598.934,0.004
370,8524.4,239.615,0.605,73.905,185.63,359.289,531.808,637.511,839.891,1514.767,0.004
375,8021,255.164,0.696,86.441,202.926,382.495,546.763,644.602,845.346,1823.25,0.004
380,7213.4,289.378,0.718,98.061,231.653,432.17,621.008,734.386,980.438,1832.358,0.003
385,6919.4,292.716,0.608,97.092,232.811,440.993,624.564,741.763,987.696,1866.364,0.003
390,5175.4,511.256,1.189,95.369,249.155,514.765,874.438,2993.716,3430.818,4001.572,0.002
395,4073,367.212,0.746,118.544,278.919,555.112,790.329,970.343,1307.697,2120.686,0.003
400,6043.2,334.921,0.644,102.729,265.057,515.868,724.017,851.346,1128.252,2011.229,0.003
405,5998.2,349.033,0.853,107.1,270.079,534.266,757.779,900.705,1199.603,2122.947,0.003
410,5688,354.898,0.971,110.202,274.563,548.276,773.256,912.337,1179.728,2046.375,0.003
415,5539.2,371.695,0.871,110.73,292.611,567.684,798.217,952.268,1297.167,2618.978,0.003
420,5691.8,351.456,1.048,105.183,264.007,538.526,779.527,926.654,1241.519,2227.132,0.003
425,6774.6,509.202,0.718,100.916,243.381,463.161,726.312,3914.508,4374.464,5484.656,0.002
430,1816.4,350.818,0.976,113.762,268.412,526.039,770.97,906.688,1231.574,1783.569,0.003
435,6682.2,307.525,0.625,97.884,248.466,461.974,667.075,790.616,1073.344,1945.798,0.003
440,5762,514.949,0.69,108.487,266.302,515.192,840.233,3206.09,3472.709,6439.513,0.002
445,1694.4,851.597,0.564,113.413,260.957,782.626,2840.305,2969.93,3218.087,3732.776,0.001
450,7029.8,244.366,0.71,70.9,188.101,373.083,539.443,638.711,861.806,1474.657,0.004
455,7740.8,266.176,0.569,76.514,202.686,397.168,593.965,721.417,1003.007,1958.452,0.004
460,7304,282.55,0.844,97.635,233.263,420.794,595.592,703.804,936.417,1672.682,0.004
465,7172.8,288.408,0.664,89.398,228.647,434.549,627.047,748.78,997.809,1866.422,0.003
470,5217.4,386.204,0.721,97.976,247.282,497.415,871.661,1470.881,1831.046,2807.971,0.003
475,4998.4,558.046,0.956,122.848,293.167,571.866,941.1,3041.099,3561.104,4053.877,0.002
480,4133.8,324.017,0.66,95.902,252.575,490.048,710.967,852.543,1150.268,1851.163,0.003
485,6767.6,297.078,0.652,95.936,232.475,445.741,638.933,766.179,1047.117,1805.143,0.003
490,8962.4,226.587,0.684,70.807,177.788,338.743,495.137,594.359,797.01,1332.452,0.004
495,8440.2,242.88,0.731,74.963,187.467,365.107,532.1,643.263,859.383,1744.923,0.004
500,7793.4,266.616,0.616,87.109,211.84,399.227,571.284,680.547,916.75,1629.942,0.004
505,7177.4,284.122,0.939,88.155,222.625,428.479,617.816,735.728,982.327,1698.238,0.004
510,6949.4,294.065,0.748,83.795,227.512,454.14,649.568,769.541,1004.814,1676.842,0.003
515,6364.6,317.857,0.751,111.304,252.207,482.12,675.854,789.064,1040.585,2069.99,0.003
520,6060.8,344.148,0.863,107.238,271.906,523.229,740.974,876.646,1167.644,1934.903,0.003
525,5962.6,389.036,0.763,108.515,268.084,514.455,748.404,896.31,1677.717,6608.099,0.003
530,669.2,2936.849,1.047,101.016,5205.702,5488.649,5593.291,5687.087,5786.057,6363.848,0
535,7776.8,238.006,0.718,72.794,186.523,351.015,530.715,636.051,859.115,1572.769,0.004
540,8381,242.92,0.625,78.784,198.817,364.326,517.034,613.022,825.951,1473.245,0.004
545,7787.8,261.872,0.507,82.99,208.501,393.993,565.056,674.338,891.798,1537.834,0.004
550,7382.2,280.507,0.775,92.373,225.304,420.519,602.14,711.017,959.93,1926.19,0.004
555,3088.8,696.484,0.758,99.494,252.11,505.372,3319.401,3684.096,3953.165,4780.94,0.001
560,5942.4,327.654,0.864,103.222,262.887,498.495,711.292,853.432,1109.433,1864.76,0.003
565,6580.8,311.318,0.627,84.603,243.814,475.427,693.282,828.36,1126.363,2005.136,0.003
570,6159.2,329.965,0.851,92.547,254.697,507.894,732.048,865.91,1163.29,1964.677,0.003
575,5927.6,348.744,0.893,103.288,266.299,527.157,777.25,923.125,1246.501,2037.497,0.003
580,5864.4,383.221,0.578,84.17,231.207,476.84,808.463,1687.71,2087.723,2916.63,0.003
585,4971,363.743,0.543,106.921,251.757,475.955,817.392,1162.622,1710.495,2804.756,0.003
590,7241.6,287.018,0.693,92.917,229.953,432.417,615.206,728.364,962.23,1549.472,0.003
595,6745.4,302.903,0.612,95.274,240.889,458.431,648.851,773.299,1044.49,1874.45,0.003
600,6385.8,321.613,1.041,107.696,252.64,491.36,689.565,812.36,1067.628,1724.144,0.003
605,6081.2,339.102,0.739,107.878,265.545,517.163,729.346,859.343,1148.116,1847.837,0.003
610,6066.4,336.292,1.044,106.425,265.161,514.263,717.902,845.792,1114.467,2045.153,0.003
615,5572.6,368.665,1.161,123.839,297.932,560.881,767.867,895.968,1218.559,2312.896,0.003
620,5476.2,373.93,0.761,105.59,281.875,575.824,820.848,983.917,1349.488,2815.92,0.003
625,5288.4,384.969,0.9,113.317,295.132,595.456,839.814,991.57,1366.609,2427.354,0.003
630,5187.2,607.877,1.094,118.044,313.604,622.193,950.261,1378.015,5865.176,6796.04,0.002
635,233.2,4302.688,1.85,5114.78,5214.402,5307.134,5508.561,5622.651,5783.22,5980.533,0
640,7693.6,255.969,0.781,80.073,206.025,379.874,559.774,662.761,895.154,1442.354,0.004
645,8381,245.42,0.737,80.39,196.295,368.644,528.379,628.039,838.456,1791.79,0.004
650,7379,278.467,0.546,98.295,226.372,413.549,583.84,689.516,910.628,1587.489,0.004
655,7119.6,287.292,0.738,81.541,219.866,437.932,633.538,763.718,1035.706,1712.071,0.003
660,6605.2,316.372,0.916,104.438,246.385,469.814,687.733,823.626,1105.673,1964.144,0.003
665,6306.8,338.111,0.686,93.795,248.092,481.192,709.777,861.932,1204.767,9451.44,0.003
670,1148.6,2732.524,0.707,61.514,288.077,7460.186,7762.162,7895.297,8118.259,8538.558,0
675,3084.8,259.239,1.088,88.54,212.534,377.403,548.85,657.888,932.164,1634.055,0.004
680,8986.6,228.582,0.509,66.329,175.493,341.235,510.241,614.102,849.468,1680.124,0.004
685,8230,248.82,0.595,75.84,192.752,373.235,545.773,656.089,886.685,2056.066,0.004
690,7611.6,270.833,0.619,85.114,217.882,407.37,588.254,699.685,918.866,1383.922,0.004
695,7120.4,290.268,0.579,97.666,230.968,438.794,621.214,735.606,973.13,1778.895,0.003
700,6611.6,308.596,0.844,102.702,247.729,459.099,663.83,786.223,1057.426,1654.285,0.003
705,6337.4,327.391,1.104,112.849,258.513,492.128,690.905,818.376,1102.541,2285.697,0.003
710,5963.2,336.961,1,110.679,273.415,505.681,717.777,841.693,1112.891,1966.574,0.003
715,5863.2,349.949,0.717,111.297,269.117,529.318,758.662,898.053,1208.964,2418.834,0.003
720,5669,364.915,0.755,106.067,278.845,559.402,806.534,956.613,1283.818,2468.302,0.003
725,5541.2,371.319,0.713,117.104,293.769,566.341,792.37,945.131,1253.298,2050.504,0.003
730,5255.8,391.198,1.222,123.021,307.307,599.324,834.168,976.948,1308.406,2437.348,0.003
735,7511.4,266.151,0.861,83.584,208.357,400.633,579.187,691.774,941.205,1704.359,0.004
740,7458.2,273.195,0.497,93.502,219.344,404.493,589.503,708.195,931.228,1730.507,0.004
745,7065.2,285.421,0.793,90.192,221.895,425.795,623.134,753.534,1008.404,1756.44,0.004
750,6733.6,312.943,0.613,96.022,251.579,477.709,676.859,807.98,1043.465,1879.432,0.003
755,6348.2,325.671,0.756,104.52,251.531,494.957,704.677,839.47,1122.841,1798.803,0.003
760,5692.6,355.866,1.033,118.562,272.715,547.935,772.115,884.904,1119.712,2397.422,0.003
765,6038.8,345.066,0.555,106.847,268.414,514.08,751.842,887.312,1189.721,6050.132,0.003
770,1235.4,1587.108,0.805,85.35,291.286,4250.714,4535.774,4714.751,4944.469,5673.683,0.001
775,8707,241.265,0.558,72.152,189.871,359.058,533.329,645.405,867.215,1884.99,0.004
780,8103.4,249.533,0.829,86.122,202.673,373.846,529.973,621.165,826.301,1538.237,0.004
785,7836,262.626,0.661,88.884,212.945,389.296,562.462,665.261,878.477,1575.219,0.004
790,5006.8,621.792,0.647,91.972,241.57,483.011,853.98,4402.623,4770.508,11085.36,0.002
795,1024.4,2640.399,2.558,200.195,497.939,6016.628,6415.372,6549.393,6805.359,7304.605,0
800,1340.4,221.649,0.846,75.807,188.299,329.379,459.568,551.552,710.39,1088.92,0.005
805,9687.4,212.563,0.58,64.664,171.781,315.653,461.934,561.205,761.734,1608.73,0.005
810,8886.8,231.021,0.644,70.209,180.565,346.659,511.847,609.487,815.877,1397.682,0.004
815,8103.4,254.33,0.605,90.966,209.028,361.554,536.26,649.249,901.403,1755.432,0.004
820,7674.8,265.57,0.663,80.055,211.217,398.345,580.529,692.659,927.064,1761.15,0.004
825,7344.4,277.867,0.638,85.986,217.803,420.786,607.77,728.308,963.24,1866.258,0.004
830,6954,295.827,0.724,97.048,235.339,441.658,634.918,759.297,1007.795,1786.198,0.003
835,6556.8,314.86,0.885,101.328,247.669,476.578,681.956,805.173,1075.882,1748.288,0.003
840,5919.4,349.728,0.865,117.253,282.74,529.363,733.753,868.794,1155.158,1993.285,0.003
845,5642.8,360.389,0.975,110.281,276.144,551.034,780.732,923.756,1260.28,2787.558,0.003
850,5831,357.093,0.947,113.502,282.751,537.956,772.013,922.984,1224.16,2149.641,0.003
855,5408,370.409,1.04,117.908,285.881,573.929,790.217,924.955,1272.322,2639.69,0.003
860,5450.2,383.757,1.423,121.24,293.046,594.308,819.625,961.749,1304.656,2294.078,0.003
865,5816.8,340.3,1.095,112.779,262.561,515.986,730.709,863.011,1153.575,2086.701,0.003
870,7819.6,261.22,0.732,85.527,210.251,391.543,562.716,664.312,887.649,1645.788,0.004
875,5094.6,570.027,0.904,104.769,243.685,466.942,781.373,3889.931,4305.304,5211.004,0.002
880,3680,341.256,0.882,115.893,267.864,504.258,707.712,836.638,1114.632,7990.283,0.003
885,1275.8,2233.497,1.107,100.786,301.676,6374.133,6661.443,6782.056,6994.638,7294.158,0
890,5051.2,233.195,0.555,88.996,198.772,343.504,477.685,555.232,744.838,1240.228,0.004
895,8968.2,228.856,0.602,69.716,180.974,341.795,505.735,611.857,797.629,1372.559,0.004
900,8491.2,242.135,0.593,74.871,187.837,360.01,531.57,641.053,863.516,1546.234,0.004
